"pitches","player_id","player_name","game_date","game_pk","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp"
240,"MIA","MIA","2020-09-09",630439,240,100,0.489,0.489,0.5,0.979,0.616,0.519,0.373,23,47,92.1,15.8,2382,87.6,87.99,29,109,131,0.4000000000000057,6.54,101,146,119,146,303,318,284,"-23.4","23.4"
236,"WSH","WSH","2020-09-11",630873,236,100,0.286,0.122,0.333,0.408,0.376,0.378,0.263,14,49,89.6,11.3,2136,89.5,89.94,18,100,136,0.4000000000000057,6.5,109,151,121,142,298,311,300,"1","-1"
234,"ATL","ATL","2020-10-14",635880,234,100,0.372,0.419,0.423,0.791,0.527,0.45,0.279,16,43,92.2,10.5,2258,88.4,87.86,26,94,140,-0.5,6,117,151,120,153,317,352,302,"-9.9","9.9"
232,"STL","STL","2020-08-28",630980,232,100,0.455,0.295,0.459,0.75,0.528,0.413,0.33,20,44,89.7,14.9,2185,86.1,86.29,14,103,129,0.20000000000000284,6.37,110,145,111,147,298,319,299,"-9.8","9.8"
231,"TOR","TOR","2020-09-11",630868,231,100,0.404,0.298,0.471,0.702,0.5,0.451,0.347,19,47,88.3,13.9,2092,86.2,85.49,30,104,127,-0.7000000000000028,5.92,109,146,120,146,284,305,289,"-13.5","13.5"
228,"NYY","NYY","2020-09-18",631627,228,100,0.213,0.106,0.29,0.319,0.263,0.249,0.17,10,47,85.7,6.8,2255,90,90.01,28,110,118,0,6.45,111,145,114,146,280,313,294,"5.4","-5.4"
227,"COL","COL","2020-09-01",631528,227,100,0.519,0.423,0.535,0.942,0.609,0.539,0.422,27,52,94,11.9,2169,88.3,88.71,23,125,102,0.4000000000000057,6.16,118,153,122,149,306,332,310,"-18.2","18.2"
225,"BOS","BOS","2020-09-06",631626,225,100,0.357,0.19,0.433,0.548,0.44,0.42,0.328,15,42,89.2,12.8,2300,85.9,84.34,19,92,133,-1.6000000000000085,6.18,110,151,118,149,285,323,296,"-5","5"
223,"PIT","PIT","2020-08-07",631105,223,100,0.327,0.143,0.469,0.469,0.385,0.382,0.316,16,49,93.5,6.4,2285,88.4,88.86,33,98,125,0.5,6.49,109,147,116,146,300,318,286,"-8.9","8.9"
222,"LAD","LAD","2020-07-29",631444,222,100,0.178,0.022,0.25,0.2,0.228,0.216,0.153,8,45,86.2,20.7,2402,92.5,89.81,22,107,115,-2.700000000000003,6.4,109,158,113,146,285,317,288,"6.4","-6.4"
218,"NYM","NYM","2020-09-18",631213,218,100,0.395,0.512,0.44,0.907,0.563,0.513,0.356,17,43,92.5,12.3,2176,86.7,86.32,30,98,120,-0.4000000000000057,6.35,116,149,121,143,297,321,302,"-10.4","10.4"
217,"AZ","AZ","2020-09-08",630220,217,100,0.244,0.171,0.267,0.415,0.373,0.359,0.204,10,41,90.7,14,2299,88.7,88.57,21,93,124,-0.10000000000000853,6.34,108,151,124,158,310,343,304,"-3","3"
216,"STL","STL","2020-09-13",630961,216,100,0.325,0.275,0.435,0.6,0.422,0.434,0.31,13,40,92.4,11.5,2277,87.9,87.66,31,93,123,-0.20000000000000284,6.14,109,151,112,147,304,329,306,"-4.2","4.2"
215,"NYY","NYY","2020-09-07",630859,215,100,0.324,0.189,0.355,0.514,0.422,0.383,0.276,12,37,90.5,10.9,2310,89.6,89.68,19,98,117,0.10000000000000853,6.18,109,148,114,147,291,313,283,"-6.8","6.8"
212,"SEA","SEA","2020-08-03",631070,212,100,0.324,0.135,0.407,0.459,0.437,0.403,0.271,12,37,87.8,11.2,2126,87.3,87.18,17,76,136,-0.09999999999999432,6.09,109,150,125,145,287,320,281,"-7","7"
212,"CWS","CWS","2020-08-06",631513,212,100,0.325,0.15,0.379,0.475,0.4,0.386,0.316,13,40,82.2,15.9,2188,86.1,86.21,24,85,127,0.10000000000000853,6.26,111,149,118,148,293,316,295,"-3","3"
211,"CLE","CLE","2020-09-30",635903,211,100,0.235,0.353,0.25,0.588,0.412,0.344,0.168,8,34,89,-1.2,2249,89.1,90.14,27,75,136,1,6.57,106,152,119,149,304,323,287,"-4.5","4.5"
208,"CIN","CIN","2020-09-01",631586,208,100,0.469,0.224,0.538,0.694,0.521,0.401,0.335,23,49,90.1,17.7,2452,86.7,86.57,23,93,115,-0.10000000000000853,6.08,115,148,122,153,293,318,290,"-10.3","10.3"
208,"NYM","NYM","2020-09-03",631234,208,100,0.216,0.081,0.276,0.297,0.307,0.377,0.299,8,37,88.4,9.2,2272,92,92.44,18,85,123,0.4000000000000057,6.46,108,149,113,143,294,316,294,"-1.4","1.4"
207,"SEA","SEA","2020-09-20",631037,207,100,0.154,0.128,0.172,0.282,0.271,0.364,0.266,6,39,93.1,14,2269,88.1,88.57,24,88,119,0.5,6.61,110,157,118,148,284,324,308,"0.7","-0.7"
207,"STL","STL","2020-08-18",631620,207,100,0.29,0.323,0.438,0.613,0.435,0.397,0.268,9,31,93.3,16.7,2303,88.8,88.93,32,86,121,0.10000000000000853,6.39,105,149,112,145,297,332,302,"-1.5","1.5"
206,"BOS","BOS","2020-08-18",631651,206,100,0.364,0.341,0.4,0.705,0.472,0.434,0.33,16,44,88.7,18,2263,88.4,88.62,19,100,106,0.19999999999998863,6.28,112,152,120,145,273,319,296,"-6.7","6.7"
205,"NYM","NYM","2020-09-27",630854,205,100,0.333,0.273,0.391,0.606,0.455,0.382,0.267,11,33,91.2,13.4,2236,89.9,89.9,24,90,115,0,6.26,111,146,109,145,296,310,297,"-8.3","8.3"
205,"LAD","LAD","2020-10-13",635931,205,100,0.278,0.25,0.348,0.528,0.387,0.346,0.22,10,36,90.7,19.8,2192,89.4,89.12,30,96,109,-0.30000000000001137,6.12,109,161,118,149,308,326,292,"-2.7","2.7"
205,"CHC","CHC","2020-07-27",631592,205,100,0.171,0.086,0.185,0.257,0.316,0.347,0.19,6,35,85.7,20.7,2281,89.5,89.38,16,69,136,-0.09999999999999432,6.48,110,152,112,147,286,324,285,"-1.3","1.3"
205,"LAA","LAA","2020-08-02",631393,205,100,0.268,0.122,0.313,0.39,0.342,0.327,0.225,11,41,88.4,18.1,2189,88.5,88.41,19,86,119,-0.09999999999999432,6.21,105,147,110,151,317,327,307,"0.7","-0.7"
204,"STL","STL","2020-08-29",630981,204,100,0.135,0.108,0.167,0.243,0.245,0.334,0.238,5,37,84.8,12.8,2351,89.3,89.6,27,88,116,0.29999999999999716,6.41,106,147,108,142,297,324,301,"3.8","-3.8"
204,"BOS","BOS","2020-08-13",631650,204,100,0.404,0.34,0.484,0.745,0.491,0.42,0.316,19,47,89.9,8.5,2100,86.4,86.78,26,89,115,0.3999999999999915,6.34,110,151,124,144,277,318,288,"-11.1","11.1"
203,"SEA","SEA","2020-08-29",631369,203,100,0.371,0.314,0.385,0.686,0.502,0.427,0.253,13,35,89.2,13.3,1953,85.3,84.83,13,67,136,-0.5,5.9,110,154,126,147,311,330,289,"-10","10"
203,"HOU","HOU","2020-07-31",631391,203,100,0.242,0.242,0.304,0.485,0.406,0.4,0.273,8,33,91.2,14.5,2332,90.3,89.5,20,69,134,-0.7999999999999972,5.82,113,155,115,151,296,317,299,"-1.9","1.9"
203,"SD","SD","2020-10-08",635898,203,100,0.35,0.125,0.438,0.475,0.415,0.414,0.327,14,40,94.3,13.1,2303,90.7,90.29,25,89,114,-0.4000000000000057,6.14,110,148,125,145,302,334,314,"-5.6","5.6"
202,"DET","DET","2020-08-07",631105,202,100,0.34,0.234,0.351,0.574,0.402,0.33,0.266,16,47,89.9,13.3,2254,88,87.99,19,100,102,0,6.25,108,149,116,144,300,318,290,"-6.3","6.3"
